Latitude,Longitude,Pays
-20.6305903,-46.8614075,Brazil
-20.6389098,-49.6509941,Brazil
-20.6503318,-49.3852774,Brazil
-20.6525385,-55.8983129,Brazil
-20.6553295,26.6674957,Botswana
-20.6652209,-50.38651,Brazil
-20.6732202,-41.2061226,Brazil
-20.6793991,-50.1505434,Brazil
-20.6865829,148.6241203,Australia
-20.6873109,-69.6352211,Chile
-20.7076165,-70.1809162,Chile
-20.7380919,140.2500109,Australia
-20.7593777,-56.6653926,Brazil
-20.778093,139.4973469,Australia
-20.7946639,-42.4541974,Brazil
-20.7991306,-49.416594,Brazil
-20.814863,-49.302373,Brazil
-20.8259246,-42.6036481,Brazil
-20.837636,-49.8484048,Brazil
-20.849542,-49.6230248,Brazil
-20.8645221,-40.8812407,Brazil
-20.8749472,-55.8875796,Brazil
-20.8843984,-48.6645958,Brazil
-20.9171286,-44.2365059,Brazil
-20.9229248,-55.7817265,Brazil
-20.9247526,149.0477119,Australia
-20.9551454,134.2096419,Australia
-20.9584553,143.0363735,Australia
-21.0032748,-50.6847274,Brazil
-21.0214778,-54.9379841,Brazil
-21.09422,-44.4788173,Brazil
-21.0981666,-45.089573,Brazil
-21.1168294,-41.9033334,Brazil
-21.1357748,-55.8204175,Brazil
-21.1671808,-51.4776551,Brazil
-21.1722141,-42.2286344,Brazil
-21.1768229,119.718094,Australia
-21.1877013,-46.9705247,Brazil
-21.191056,-48.9120253,Brazil
-21.1967434,-48.1659776,Brazil
-21.199802,-54.8937303,Brazil
-21.2013222,-54.5582423,Brazil
-21.2174144,141.9718463,Australia
-21.2320709,-45.2322096,Brazil
-21.2433715,-56.4498743,Brazil
-21.2644378,26.3360523,Botswana
-21.2723157,-51.6667546,Brazil
-21.2926683,55.805558,France
-21.299908,-50.730388,Brazil
-21.3245335,117.2210412,Australia
-21.3356889,-43.0443461,Brazil
-21.3740044,142.8065827,Australia
-21.3990824,-45.9494523,Brazil
-21.4404777,-44.9541587,Brazil
-21.4536252,-50.1634788,Brazil
-21.4608983,-49.7527725,Brazil
-21.4746488,-46.8069722,Brazil
-21.4764901,141.7156791,Australia
-21.4955758,148.8037151,Australia
-21.4965479,-56.454725,Brazil
-21.5004378,143.5767799,Australia
-21.5092972,144.6497065,Australia
-21.518368,-50.298227,Brazil
-21.5186075,143.5592995,Australia
-21.527135,-47.6428605,Brazil
-21.5276668,-47.642258,Brazil
-21.5390084,118.7694353,Australia
